fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo,ts_20,w_rec,ts_10,ts_50,Year,Month,Day
2001-08-01,1400,13.6(27),,78.0,,,,999.2(05),0.0,1017.3,990.4,14.0,26.5(11),15.7,0.0,,,99/14.4(17),1.0,,,0.0,13.0,11.6(04),151.0,0.0,,,37.5,,,10.0,0.0,16.8,,17.2,20.2,,979.7(19),6.0,,,263.0,,,2001,8,1
2001-09-01,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,9,1
2001-10-01,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,10,1
2001-11-01,1400,13.3(30),,69.0,,,,1002.5(14),14.0,1024.6,996.8,8.1,20.0(03),14.3,0.0,,,19/29.2(01),1.0,,,1.0,8.0,3.4(09),86.0,0.0,,,19.1,,,20.0,0.0,10.1,,10.5,12.8,,989.0(26),3.0,,,499.0,,,2001,11,1
2001-12-01,1400,,,63.0,,,,1001.3(06),9.0,1020.6,992.7,6.5,14.6(09),10.3,0.0,,,05/20.3(23),,,,0.0,,1.6(24),73.0,,,,,,,15.0,0.0,7.4,,8.8,10.9,,979.8(30),,,,379.0,,,2001,12,1
2001-01-01,1437O,65.2(23),,,1.0,23.0,,,,,,2.9,9.8(04),5.3,0.0,,,,18.0,,,,24.0,0.7(09),,7.0,,,518.1,23.0,5.0,,0.0,3.1,0.0,4.8,6.8,,,22.0,,,,,,2001,1,1
2001-02-01,1437O,55.9(05),,,3.0,8.0,,,,,,3.7,14.0(21),9.2,0.0,,,,6.0,,,,11.0,-1.4(27),,1.0,,,167.9,8.0,3.0,,4.0,2.3,0.0,6.3,8.9,,,11.0,,,,,,2001,2,1
2001-03-01,1437O,122.7(21),,,0.0,28.0,,,,,,4.4,12.0(30),8.5,0.0,,,,21.0,,,,29.0,1.7(01),,10.0,,,891.8,29.0,0.0,,0.0,5.3,0.0,6.3,8.2,,,28.0,,,,,,2001,3,1
2001-04-01,1437O,46.5(26),,,1.0,13.0,,,,,,4.8,17.6(14),9.0,0.0,,,,6.0,,,,13.0,1.6(30),,3.0,,,209.6,13.0,0.0,,0.0,5.1,0.0,8.1,11.3,,,12.0,,,,,,2001,4,1
2001-05-01,1437O,25.7(12),,,0.0,6.0,,,,,,7.2,28.1(29),17.9,0.0,,,,2.0,,,,7.0,1.4(01),,0.0,,,79.2,7.0,0.0,,0.0,8.4,0.0,10.8,15.6,,,7.0,,,,,,2001,5,1
